sentence,gold_root,pred_root
"Thousands of <s><t>Iraq</t>i Kurds</s> demonstrated in the northern city of Kirkuk on Sunday calling for independence from <t>Iraq</t>, witnesses said.",PROTEST,PROTEST
"Up to 1,000 <s>ethnic Turks</s> began a hunger strike on Monday to protest against <t>Sweden</t>'s decision to send them back to Bulgaria, where they say they face imprisonment, homelessness and persecution.",PROTEST,PROTEST
<s>Islamic fundamentalists</s> continued their hunger strike to demand the resignation of <t>Algerian President Ahmed Ben Bella</t>.,PROTEST,PROTEST
"A member of the <s>Syrian parliament</s>, Mohammed Mamoun, started a hunger strike yesterday to protest <t>President Assad</t>'s failure to usher in meaningful political reforms.",PROTEST,PROTEST
"<s>Algerian landowners</s> began a hunger strike outside Parliament to demand the return of property seized by <t>Algerian government forces</t> in the 1970s, APS news agency said.",PROTEST,PROTEST
"<s>Salaheddine Sidhoum</s>, Algeria's leading human rights activist, staged a 24-hour hunger strike in prison on Sunday in protest against the widespread human rights violations by <t>Algerian security forces</t>, his lawyer said on Tuesday.",PROTEST,PROTEST
A group of <s>Chenchen refugees</s> are continuing a hunger strike in protest of the <t>Russian government</t>'s refusal to accept the independence of Chechnya.,PROTEST,PROTEST
<s>Palestinians of the Israeli-occupied West Bank</s> shunned work on Monday to protest at settlement of <t>Soviet Jewish immigrants</t> on Arab land.,PROTEST,PROTEST
The <s>fundamentalist Umma (Nation) party</s> has said it will boycott <t>Algeria</t>'s first multi-party elections unless the president agrees to step down.,THREATEN,REJECT
"Some 500,000 workers affiliated with the <s>Serbian Workers' Union</s> (SSS) stopped work on the first day of an open-ended strike on Monday over a controversial employment bill signed in by <t>Serbian Labour Minister Dragan Milovanovic</t>.",PROTEST,PROTEST
Seven <s>opposition parties in Nepal</s> have organized a general strike that shut down <t>Khatmandu</t> in protest of last week's arrest of a number of activists.,PROTEST,PROTEST
"Angry <s>French paper workers</s> blocked the <t>Europe Bridge</t> spanning the Rhine from France to West Germany for more than three hours by dumping sawdust on the roadway, French border police said.",PROTEST,PROTEST
About 200 <s>supporters of former President Ahmed Ben Bella</s> blocked roads in the capital city of <t>Algiers</t> demanding that he be reinstated as leader of the Algerian government.,PROTEST,PROTEST
<s>Rebels in the Ivory Coast</s> on Tuesday blocked transport into Abidjan as they continued their effort to overthrow the government of <t>President Laurent Gbagbo</t>.,PROTEST,COERCE
"Demonstrators in <s>Baghdad</s> blocked a road to show their disapproval for the <t>United States</t>' military policies, a newspaper reported Tuesday.",PROTEST,PROTEST
Young <s>Algerians</s> blocked roads leading to the city centre on Sunday to press their demands for greater freedom and opportunities from <t>President Bouteflika</t>'s government.,PROTEST,PROTEST
Hundreds of thousands of people blocked streets in <s>Hong Kong</s> in defiance of <t>Chinese authorities</t> to demand democratic reforms.,PROTEST,PROTEST
"<s>Palestinian prisoners</s> rioted Monday at this jail in northern <t>Israel</t>, setting fire to their mattresses and smashing furniture, police sources said.",PROTEST,PROTEST
<s>Egyptian</s> demonstrators rioted following a peaceful demonstration calling for the immediate removal of <t>President Hosni Mubarak</t> from office.,PROTEST,PROTEST
<s>Palestinian</s> riots against <t>Israeli military</t> policies are still continuing with no end in sight.,PROTEST,PROTEST
"<s>Palestinian</s> youths resorted to throwing stones during demonstrations against the alleged human rights violations by the <t>Israeli military</t>, officials said on Thursday.",PROTEST,PROTEST
"Prisoners rioted at a jail in <s>East Timor's capital Dili</s> on Monday joining thousands of demonstrators in demanding a referendum on independence from <t>Indonesian</t> rule, locals said.",PROTEST,PROTEST
The <s>Macedonian army</s> prepared to resume shelling <t>Albanian rebel</t>-held territory as attempts to resolve the crisis on the political front were deadlocked.,MOBILIZE,MOBILIZE
<s>Israeli troops</s> remained on alert in the occupied <t>West Bank</t> today to forestall more violence after a week of unprecedented Palestinian civil unrest.,MOBILIZE,MOBILIZE
The <s>government of Sindh province</s> has ordered patrols by police and paramilitary soldiers after violent protests by <t>Muslim</t> groups.,MOBILIZE,MOBILIZE
"<s>Israel</s> has strengthened its forces in <t>Lebanon</t> following the discovery of Soviet-made Katyusha rockets in the area last week, military sources said today.",MOBILIZE,MOBILIZE
<s>Britain</s> mobilized army reservists for a possible war against <t>Iraq</t> on Tuesday while UN arms inspectors said they needed more time.,MOBILIZE,MOBILIZE
"<s>North Korea</s> has trained more than 500 computer hackers capable of launching cyber warfare against the <t>United States</t>, South Korea's defense ministry said Monday.",MOBILIZE,THREATEN
"<s>Italy</s> announced a suspension of air links with <t>Yugoslavia</t> on Wednesday, one day after a Yugoslav army jet shot down a helicopter carrying EC truce monitors.",SANCTION,SANCTION
"A <s>French minister</s> has cancelled a planned visit to <t>Haiti</t> after a state of siege was declared in the one-time French colony, the Foreign Affairs Ministry said on Sunday.",REJECT,SANCTION
"<s>Switzerland</s> said today it had expelled two <t>Soviet</t> diplomats based in Geneva for spying, adding to a long series of espionage scares.",SANCTION,COERCE
The <s>United States</s> announced Wednesday it would prohibit all aid to <t>Albanian rebels</t> in Macedonia and would deny entry to the <s>United States</s> to all individuals undermining stability there.,THREATEN,SANCTION
<s>Red Cross</s> officials suspended aid deliveries in <t>Baghdad</t> on Wednesday after two of their vehicles were hit by gunfire and a staff member went missing.,SANCTION,SANCTION
<s>Japan</s> said on Tuesday it had halted economic aid to <t>Yugoslavia</t> in line with Western efforts to end the fighting there.,SANCTION,SANCTION
"The <s>United States</s> suspended part of a military aid program for <t>Bosnia</t> aimed at bringing <t>Bosnia</t>n Croat and Moslem armed forces together as a unified identity, the New York Times reported on Friday.",SANCTION,SANCTION
"The <s>United Nations</s> on Tuesday reduced food supplies to the biggest <t>Cambodian refugee camp</t> in Thailand because rice was being diverted to outside users, relief officials said.",SANCTION,SANCTION
"<s>President Bill Clinton</s> has imposed sanctions on the <t>Taliban</t> religious faction that controls Afghanistan for its support of suspected terrorist Osama bin Laden, the White House said Tuesday.",COERCE,SANCTION
"<s>Palestinians</s> and <t>Israelis</t> failed to reach agreement on the fate of Palestinian offices in east Jerusalem Sunday, despite hours of tense negotiations, sources on both sides reported.",REJECT,REJECT
<s>Syrian officers</s> today ended mediation efforts between rival <t>militias in Tripoli</t> as shells continued crashing into the north Lebanese port and the death toll rose to more than 200.,SANCTION,REJECT
"Eighty <s>UN</s> peacekeepers were shipped out of the eastern <t>Bosnian</t> enclave of Gorazde Friday, leaving just 100 <s>UN</s> troops to follow them out later this month.",SANCTION,AID
"<s>North Korea</s> expelled inspectors of the <t>International Atomic Energy Agency</t>, or IAEA, from frozen nuclear facilities at Yongbyon after U.S. officials alleged that the North admitted it had a uranium-based program in late 2002.",SANCTION,YIELD
"<s>Jakarta</s> forced the <t>UN refugee agency</t>, UNHCR, out of the country following the relief operation, although it had more than $12m of unspent donations.",SANCTION,COERCE
<s>Turkish police</s> prevented the demonstration staged by <t>students at Cumhuriyet University</t> near AKP offices in Sivas on 15 October to protest the decision of sending troops to Iraq.,COERCE,COERCE
"<s>Croatian authorities</s> are failing to uphold the property rights of <t>Croatian Serb refugees</t>, a human rights group protested here Wednesday.",COERCE,PROTEST
"In an unprecedented move, <s>Palestinian police in Jericho</s> confiscated weapons and explosives from <t>Palestinian armed groups</t>, the Israeli army said Friday.",COERCE,COERCE
"<s>Afghan guerillas</s> blew up three main electric power lines leading into <t>Kabul</t> last month and nearly one third of the city's power supply is still down, the Czechoslovak news agency Ceteka reported from <t>Kabul</t> today.",ASSAULT,ASSAULT
"<s>Jewish settlers in the West Bank city of Hebron</s> set fire to the offices of the <t>Palestinian administrators</t> of Muslim property overnight following the killing of an Israeli man, Palestinian residents said Sunday.",ASSAULT,ASSAULT
"<s>Israeli army</s> bulldozers demolished <t>Palestinian</t> homes and civilian buildings in southern Gaza on Sunday, <t>Palestinian</t> officials and US witnesses said.",ASSAULT,ASSAULT
The <s>British</s> government on Monday outlawed the largest <t>Protestant extremist organization in Northern Ireland</t> because of what it called its direct involvement in killing in the strife-torn province.,COERCE,COERCE
"<s>Nicaragua's Sandinista government</s> today ordered the opposition newspaper <t>La Prensa</t> to suspend publication indefinitely, a spokesman for the paper said.",COERCE,COERCE
<s>President Yoweri Museveni</s> has banned <t>Ugandan opposition</t> candidates from participating in the upcoming elections.,COERCE,COERCE
"<s>Turkish authorities</s> have imposed a curfew in the town of <t>Cizre</t> in southeastern Turkey after a demonstration over fraud allegations in Sunday's local elections, security sources said here Tuesday.",COERCE,COERCE
"The military government of <s>President Prosper Avril</s> declared a 30-day state of siege in <t>Haiti</t> on Saturday, suspending parts of the constitution and arresting political opponents, a spokeswoman for the U.S. embassy said.",COERCE,COERCE
"<s>Israeli soldiers</s> arrested more than 100 <t>Palestinians</t> on Saturday in a security sweep of the Hebron area of the occupied West Bank, military sources said.",COERCE,COERCE
"<s>Ghanaian authorities</s> have deported 168 <t>Liberians</t> for traveling without proper documents on a Swedish-registered vessel, a port official said Monday.",COERCE,COERCE
<s>Liberian riot police</s> used tear gas to disperse demonstrators protesting election results in <t>Monrovia</t>.,COERCE,COERCE
"<s>North Korea</s> has tried to hack into the computers of <t>South Korean army</t> officers, officials said Tuesday.",COERCE,COERCE
"<s>Muslim hackers</s> angered by the publication of cartoons of the Prophet Mohammed have defaced nearly 3,000 <t>Danish Web sites</t> over the past month in the biggest politically motivated cyber attack long-time observers have ever seen.",COERCE,COERCE
"A temporary camp for <t>Congolese refugees</t> was attacked by <s>Burundian militiamen</s> armed with machetes, killing at least 156 people, the UN refugee agency reported.",ASSAULT,ASSAULT
"<s>Afghan rebels</s> have kidnapped up to 16 <t>Soviet</t> civilian advisers from a town bazaar and exploded a series of bombs in the capital Kabul, western diplomatic sources in neighboring Pakistan said today.",ASSAULT,ASSAULT
"<s>Israeli soldiers</s> routinely beat up <t>Palestinian</t> detainees on the occupied West Bank with the knowledge of senior officers, a court martial was told today.",ASSAULT,ASSAULT
"<s>U.S. border patrol</s> agents sexually abused illegal <t>Mexican</t> immigrants with impunity, a human rights organization charged on Saturday.",ASSAULT,ACCUSE
"<s>Security forces in Guinea</s> have tortured scores of <t>Sierra Leonean and Liberian refugees</t>, whom authorities blame for a border conflict, Human Rights Watch (HWR) said Thursday.",ASSAULT,COERCE
"A <t>Palestinian prisoner</t> died as a result of torture while in <s>Israeli police</s> custody, according to a report by a pathologist sent to Israel by Physicians for Human Rights.",ASSAULT,COERCE
"<s>Irish nationalist guerrillas</s> wounded two <t>British soldiers</t> in a bomb attack on Thursday, police said.",ASSAULT,ASSAULT
"Two <s>Palestinian</s> suicide bombers killed 23 people as well as themselves late Sunday when they blew themselves up in <t>Tel Aviv</t> in the second-worst attack in the current <s>Palestinian</s> uprising, police said.",ASSAULT,ASSAULT
"At least three <t>Iraqi civilians</t> have been killed in a suicide car bombing in central <s>Baghdad</s>, Iraqi police said.",ASSAULT,ASSAULT
A prominent <t>anti-Syria journalist</t> has been killed in a car bomb explosion in a residential sector of mostly <s>Christian eastern Beirut</s>.,ASSAULT,ASSAULT
"A roadside bombing near the town of <s>Samarra</s> on Sunday killed one <t>U.S. soldier</t> and wounded two others, the military said.",ASSAULT,ASSAULT
Three <t>US servicemen</t> were killed by an improvised explosive device outside of the <s>Iraqi</s> city of Basra.,ASSAULT,ASSAULT
"The <s>Sri Lankan army</s> has been holding thousands of <t>Tamil civilian refugees</t> as human shields in the battle zones of the southern sector of the Jaffna peninsula, according to a press release by the Liberation Tigers.",ASSAULT,COERCE
"An attempt to assassinate <t>deputy governor of the Tyumen</t> region, Oleg Chemezov, was thwarted in <s>Khanty-Mansiysk</s> (Siberia), the city's police reported.",ASSAULT,ASSAULT
"<s>Militants loyal to Iraq's Al-Qaeda frontman Abu Musab al-Zarqawi</s> said they attempted to assassinate outgoing <t>Prime Minister Iyad Allawi</t>, in a statement posted on the internet.",ASSAULT,ASSAULT
<s>Hezbollah</s> guerrillas killed the deputy chief of <t>Israel's militia ally in southern Lebanon</t> Sunday sources on both sides said.,ASSAULT,ASSAULT
"One <t>Serb policeman</t> was murdered in an attack on a police patrol by <s>Kosovo Albanians</s> near the border with Kosovo, state agency Tanjug reported Sunday.",ASSAULT,ASSAULT
"<s>Vietnamese</s> and <t>Kampuchean forces</t> were battling for control of a strategic base near the border today, Thai military sources said.",ASSAULT,ASSAULT
"<s>Palestinian gunmen</s> attacked an <t>Israeli</t> village close to the West Bank Sunday and killed an <t>Israeli</t>, public television reported.",ASSAULT,ASSAULT
"<s>Israel</s> Friday reimposed blockades in the <t>West Bank</t> following the shooting deaths of two <s>Israel</s>is a day earlier, a military spokesman announced.",COERCE,SANCTION
"The <s>Soviet Union</s> closed its southern borders with <t>Iran and Turkey</t> because of fighting between Azerbaijanis and Armenians, an editor at the official Armenian news agency said.",COERCE,SANCTION
"<s>Vietnamese-led forces</s> have retaken a strategic village in <t>Western Kampuchea</t> after fierce fighting with guerrillas who overran it late last month, Thai military sources said today.",ASSAULT,ASSAULT
"<s>Burmese troops</s> have captured part of a <t>Karen guerrilla</t> stronghold on the Thai border after five days of fighting, Thai police here said on Monday.",ASSAULT,ASSAULT
"<s>Israel</s> today mounted its long-threatened invasion of <t>South Lebanon</t>, ploughing through the United Nations lines on the coast of south of Tyre and thrusting forward in at least to inland areas.",ASSAULT,ASSAULT
"<s>Sudanese rebels</s> shelled the southern regional capital <t>Juba</t> for the first time in a year on Sunday and Monday, killing about 20 people, relief officials in Nairobi said.",ASSAULT,ASSAULT
"<s>Egyptian police</s> opened fire to disperse <t>Moslem fundamentalist</t> demonstrators on Monday night, killing one person and arresting 12, security sources said.",ASSAULT,ASSAULT
A minefield explosion near the town of <s>Samarra</s> killed two <t>Iraqi youths</t> and wounded five others on Sunday.,ASSAULT,ASSAULT
"<s>Vietnamese-led forces</s> launched artillery, mortar, and rocket fire against <t>Kampuchean guerrilla</t> camps near the eastern Thai border today, killing or wounding 50, Thai military sources said.",ASSAULT,ASSAULT
"<s>Israeli</s> tanks fired four shell bombs at targets in <t>Jericho</t>, witnesses said, in a rare incident in the West Bank city.",ASSAULT,ASSAULT
<s>Soviet</s> aircraft including helicopter gunships killed 46 <t>Afghan</t> civilians in an attack on a village in the western province of Heart.,ASSAULT,ASSAULT
<s>Israeli</s> helicopters and tanks shelled positions of the <t>Palestinian</t> security forces and residential areas near the town of Rafah.,ASSAULT,ASSAULT
<s>British</s> aircraft using precision guided missiles killed 4 <t>Iraqis</t> in an attack on a suspected weapons supply in Basra.,ASSAULT,ASSAULT
"Recent <s>US</s> Predator attacks, occurring about once every three days, have killed at least eight top <t>al-Qaeda leaders</t> since last July, according to Pentagon sources.",ASSAULT,ASSAULT
"Both the <s>Phillippines military</s> and the <t>Moro Islamic Liberation Front</t> are guilty of violating the ceasefire agreement signed in March 2001, according to a group that conducted simultaneous fact-finding missions in Lanao, Maguindanao, and Cotabato provinces last week.",ASSAULT,REJECT
"The <s>Israeli army</s> forced out on Wednesday more than 1,000 <t>Palestinian refugees</t> from their homes in a West Bank refugee camp during a 48-hour search for militants, residents said.",ASSAULT,COERCE
"<s>Sudan's government</s> is responsible for mass killings and other atrocities in the <t>Darfur</t> region, according to a United Nations report.",ASSAULT,ACCUSE
"<s>Serb forces</s> were engaged in ethnic cleansing in Kosovo against the majority <t>Albanian population</t> of the province, according to the US government.",ASSAULT,ASSAULT
<s>The United Nations</s> has repeatedly refused to send peacekeepers to <t>Darfur</t>.,REJECT,REJECT
<s>Zimbabwean opposition leader Morgan Tsvangirai</s> has threatened to pull out of a power-sharing deal with <t>Robert Mugabe</t> following the Zimbabwean president's unilateral decision to award key cabinet posts to his ruling ZANU-PF party.,THREATEN,THREATEN
<s>Thailand's military government</s> on Friday praised <t>the U.S. State Department</t>'s decision to upgrade the country in its annual report on efforts to fight human trafficking.,SUPPORT,SUPPORT
<s>Indian troops</s> remained on alert Wednesday in <t>New Delhi</t> for Hindu-Muslim riots.,MOBILIZE,MOBILIZE
"<s>The West Bengal government</s> denied permission to <t>other BJP leaders</t> including party president Amit Shah and Union minister Smriti Irani to conduct rallies, ahead of the Lok Sabha election.",REJECT,REJECT
"<s>Mohammad Radmanish, an Afghan defence spokesperson</s>, welcomed <t>NATO</t>'s decision to send more troop trainers.",SUPPORT,SUPPORT
<s>Maduro's vice president</s> has violated <t>a EU's ban</t> on entry into Spanish territory.,REJECT,REJECT
"On 30 April, <s>New Zealand police</s> arrested <t>a man in Christchurch</t> following reports of a suspicious item at a property in the city.",COERCE,COERCE
<s>The U.S.</s> announced a suspension of aid to <t>Guatemala</t> and threatened to withdraw certain trade preferences.,SANCTION,SANCTION
"In 2017, <s>the Atomic Energy Organization of Iran (AEOI)</s> signed a contract with <t>the China National Nuclear Corporation (CNNC)</t> covering the initial phase of the Arak reactor's redesign, adds Batmanghelidj.",SUPPORT,AGREE
<s>Armenia</s> and <t>Azerbaijan</t> have agreed to a ceasefire in their conflict over the enclave of Nagorno Karabakh.,AGREE,AGREE
"NEW YORK - <s>A US judge</s> has dropped federal female genital mutilation charges filed against <t>a Michigan doctor</t>, ruling that Congress overstepped its authority in prohibiting a practice best left to state courts.",YIELD,REJECT
<s>The foundation</s> later issued a statement denouncing the <t>Reuters story</t>.,ACCUSE,ACCUSE
<s>Turkey</s> extradited <t>a US citizen</t> suspected of being an Islamic State militant.,COERCE,COERCE
"<s>The Kenyan government</s> has lifted a ban preventing <t>the international charity Marie Stopes</t> from providing any abortion services, following warnings the ruling endangered the lives of thousands of women.",YIELD,YIELD
<s>The students</s> expressed full support for <t>the Pakistani armed forces</t> and said they would be contributors and not bystanders for the bright future of Pakistan and they would not be swayed by detractors of any type.,SUPPORT,SUPPORT
"<s>Taliban militants</s> have seized control of <t>an army base in northern Afghanistan</t>, killing and capturing dozens of government soldiers.",ASSAULT,ASSAULT
"<s>Austria's immigration authorities</s> have deported <t>children</t>, most of whom spent the majority of their lives here, to Georgia and Armenia.",COERCE,COERCE
"<s>Bangladesh</s> said it cannot accept any more refugees from <t>Myanmar</t>, the first time the country has threatened to close its borders to Rohingya fleeing violence.",THREATEN,THREATEN
<s>Iranian-backed Houthis</s> have violated <t>a UN-brokered ceasefire</t> more than 200 times in less than two weeks.,ASSAULT,REJECT
"<s>Ukraine</s> and <t>Russia</t>, overseen by France, Germany and the Organization for Security and Cooperation in Europe (OSCE), signed two agreements in the Belarusian capital, Minsk -- in September 2014 and February 2015 -- to establish a cease-fire and a road map to a lasting peace in eastern <s>Ukraine</s>.",SUPPORT,AGREE
<s>Opposition leaders</s> demanded an explanation from <t>Lee</t> after he made the remarks at a campaign rally Wednesday.,REQUEST,REQUEST
<s>Afghan President Ashraf Ghani</s> announced a unilateral eight-day ceasefire with <t>the Taliban</t> on Tuesday amid an increasingly bloody war.,YIELD,AGREE
<s>Pete Wilson</s> signed an agreement to promote bilateral trade and tourism with <t>Israel</t>.,SUPPORT,AGREE
"<s>Political parties aligned to Iran</s> have demanded the withdrawal of all <t>US-led forces</t>, despite the continuing threat posed by the Sunni jihadist group.",ACCUSE,REQUEST
<s>The UN Security Council</s> simultaneously lifted all sanctions against <t>Iran</t>.,YIELD,YIELD
<s>Sudan</s> is willing to withdraw its troops from <t>Abyei</t>.,AGREE,YIELD
"<s>Boko Haram militants</s> attacked <t>an army base in northeast Nigeria</t>, killing one soldier, military sources told AFP Friday, a day after regional leaders urged more international support to fight the jihadists.",ASSAULT,ASSAULT
"Hours before Saturday's announcement, <s>Taliban militants</s> stormed <t>an Afghan military base</t> in the western province of Herat, killing at least 17 soldiers, officials said.",ASSAULT,ASSAULT
"At a summit between Russia, Iran and Turkey on Friday, <s>President Vladimir Putin</s> rejected <t>Erdogan</t>'s call for a truce in Idlib, home to about 3 million civilians.",REJECT,REJECT
"<s>Chinese President Xi Jinping</s> will meet <t>regional rival Japan's Prime Minister Shinzo Abe</t>, at a time when both are worried about nuclear-armed North Korea which has just declared its first successful intercontinental ballistic missile test.",AGREE,CONSULT
"<s>Israel</s> has said it will not lift the embargo until <t>U.N. peacekeepers and the Lebanese army</t> take positions along the Syrian border to block arms shipments to Hezbollah from its two main supporters, Iran and Syria.",REQUEST,REQUEST
"We condemn and reject this decision of <t>the US Senate</t>, <s>Turkish Vice President Fuat Oktay</s> tweeted on Friday.",ACCUSE,REJECT
<s>North Korea</s> has violated a ban by <t>UN</t> on the export and import of ballistic missile and nuclear-related items as well as conventional arms and luxury goods.,REJECT,REJECT
"<s>Isis fighters</s> have surrendered their final scrap of territory in Syria to <t>US-backed forces</t>, giving up land they once declared a caliphate.",YIELD,YIELD
<s>Egypt</s> had agreed to open its borders to allow <t>Iran</t> send humanitarian aid to the Gaza Strip.,AGREE,AGREE
"<s>International Monetary Fund Managing Director Kristalina Georgieva</s> on Saturday pledged the IMF's full support for <t>Somalia</t>'s push for debt relief in the ""near future.""",SUPPORT,AGREE
<s>The European Parliament</s> has approved a strongly worded resolution criticizing <t>the Nicaraguan government</t> on human rights and calling for sanctions.,ACCUSE,ACCUSE
<s>The EU</s> has imposed sanctions on <t>China</t> based on Xinjiang related lies and false information.,COERCE,SANCTION
<s>Saudi Arabia</s> eased curfew hours it had imposed on <t>several cities</t> during the month of Ramadan to allow people more time to shop for essential needs within the boundaries of their neighbourhoods.,YIELD,YIELD
"<s>A US activist and former political prisoner</s> has filed a lawsuit against <t>a former Egyptian prime minister</t> who now lives in Washington DC, arguing he was illegally jailed and tortured as part of a brutal crackdown by Cairo in 2013.",ACCUSE,ACCUSE
"On Dec. 11, 2009, <s>ICE</s> returned to <t>the Peruvian government</t> eight cultural religious artifacts.",YIELD,AID
<s>The Nigerian Air Force (NAF) </s>has carried out massive surgical operations to alleviate the medical challenges of <t>Internally Displaced Persons (IDP) in Borno State</t>.,COOPERATE,AID
"<s>A three-judge panel of the Jerusalem District Court</s> on Wednesday unanimously rejected <t>Prime Minister Benjamin Netanyahu</t> for an exemption from attending the opening of his public corruption trial which will take place on Sunday.The decision appeared to be a move by the court to set the tone that it is in control now that the trial is actually starting, regardless of the fact that ""Defendant No.",REJECT,REJECT
"<s>Prime Minister Theresa May</s> on Friday welcomed <t>the European Union</t>'s decision to delay Brexit, saying that lawmakers in the British parliament now had clear choices about what to do next.",SUPPORT,SUPPORT
"<s>Knesset member and Blue and White party leader Benny Gantz</s> had declared his full support for <t>Netanyahu's military moves</t> on Nov. 13, although he made sure to keep this separate from politics in saying unequivocally that he supports a unity government.",SUPPORT,SUPPORT
<s>Islamic State forces</s> hold <t>several hundred families</t> as human shields in the Iraqi city of Falluja.,ASSAULT,COERCE
<s>Scotland Yard</s> has opened six investigations looking into claims <t>the Oscar-winning actor</t> attacked men while in Britain.,ACCUSE,ASSAULT
"<s>Prime Minister Yoshihiko Noda</s> has apparently accepted demands from <t>the powerful business lobby, Keidanren</t>, that nuclear energy continue in a limited form to alleviate potential energy shortages.",YIELD,AGREE
"<s>The Nigerian Air Force (NAF) </s>has destroyed <t>a Boko Haram Terrorists (BHTs) camp</t> at Abulam, a settlement on the fringes of the Allagarno Forest, in Borno State.",ASSAULT,ASSAULT
"<s>The Israeli military</s> said Friday it had begun airstrikes in <t>the Gaza Strip</t> in response to a rocket attack on Tel Aviv -- which was the first time the city, some 50 miles north of Gaza, was targeted by rocket fire since a 2014 war against Gaza militants.",ASSAULT,ASSAULT
"<s>The Jani Khel tribe</s> agreed to call off their protest in <t>Pakistan</t> against the killing of four young men, who they allege were tortured and killed by <t>Pakistan</t>i security forces.",AGREE,AGREE
One of the key points <s>the U.S.</s> has pushed on <t>the Islamic extremist group</t> during negotiations is that it must begin a direct dialogue with the Afghan government.,REQUEST,REQUEST
"<s>The US Ambassador, Stuart Symington</s>, paid a courtesy visit to <t>President of Senate</t> early this morning in his office.",CONSULT,CONSULT
<s>Pakistan government</s> announced it will return weapons and other equipment seized from <t>Pakistani people</t>.,AGREE,YIELD
<s>Premier Li Keqiang</s>'s visit to <t>Germany</t> will push forward bilateral economic and trade cooperation.,CONSULT,AGREE
<s>Matamoros workers</s> went on strike to protest <t>Mexican president</t>'s decision of doubling the minimum wage in Mexican states along the border.,PROTEST,PROTEST
"<s>Thai police</s> arrested <t>a Jordanian man</t> who confessed to murdering his one-year-old son by strapping the child into a stroller and pushing him into the Gulf of Thailand, the country's immigration head said on Tuesday.",COERCE,COERCE
"<s>Immigration and Customs Enforcement</s> returned approximately 100 ancient fossils to <t>the People's Republic of China</t> at their Washington embassy on May 26, 2010.",YIELD,AID
"<s>The Nigerian military</s> on Friday lifted a ban on <t>UNICEF</t> operations in the country's northeast, after accusing the aid agency of training spies supporting Boko Haram jihadists.",YIELD,YIELD
"PRISTINA -- <s>Kosovo's new prime minister</s> says he intends to abolish punitive tariffs on <t>Serbian goods</t>, as the two countries struggle amid an international push for them to establish diplomatic relations.",AGREE,AGREE
"<s>Yemen's warring parties</s> have agreed to a ceasefire in <t>Hodeidah</t>, a major flashpoint in the country's war.",AGREE,AGREE
WASHINGTON - <s>President Donald Trump</s> is imposing more sanctions on <t>Russia</t> in connection with the 2018 poisoning of a former <t>Russia</t>n spy and his daughter.,COERCE,SANCTION
<s>The U.S.</s> lifted sanctions against <t>a unit of China's biggest shipping company</t> that was accused of hauling Iranian crude in violation of American restrictions.,YIELD,YIELD
<s>Mikhail Gorbachev</s> announces that he is resigning as president of <t>the Soviet Union</t>.,YIELD,YIELD
<s>Cleveland officials</s> have imposed a curfew starting at noon that restricts access to <t>the city's downtown</t> until 8 a.m. Monday.,COERCE,COERCE
"<s>The UNSC</s> has imposed sanctions on <t>Lebanon</t> in relation to the 2005 terrorist bombing in Beirut, as well as in response to the 2006 conflict between Israel and Hezbollah.",COERCE,SANCTION
<s>A small group of protesters</s> seeking justice for Breonna Taylor have been participating in a hunger strike against human rights violations by <t>the Louisville Metro Police Department</t>.,PROTEST,PROTEST
"<s>Afghan President Ashraf Ghani</s>, rejected a meeting between the <t>Taliban and a large gathering of prominent Afghan figures, including former President Hamid Karzai</t>, in Moscow earlier this month.",REJECT,REJECT
"<s>Russian Prime Minister Mikhail Mishustin</s> had approved on November 11 a draft agreement on establishing a naval logistics base in <t>Sudan</t> and gave instructions to submit a proposal to the president on signing the document, according to TASS.",SUPPORT,AGREE
<s>Pakistan</s> has rejected <t>US assertions</t> it is a sanctuary for militants.,REJECT,REJECT
<s>Movement for Democratic Change (MDC) leader Morgan Tsvangirai</s> last week agreed to join a unity government with <t>President Robert Mugabe</t> after months of wrangling over cabinet posts had stalled a power-sharing deal signed last year.,AGREE,AGREE
"<s>UK</s> extradited radical Islamist preacher Abu Hamza al-Masri from to <t>the US</t>, where he will face a number of terrorism charges.",COOPERATE,COERCE
<s>Britain</s> says it will not accept any such proposal made by <t>the European Commission</t> to receive asylum seekers and refugees.,REJECT,REJECT
"While the BJP is wondering how to douse the fire over the land acquisition bill, <s>Uddhav Thackeray, the chief of ally Shiv Sena</s>, on Monday demanded a meeting of the <t>National Democratic Alliance (NDA) members</t>, to discuss the objectionable provisions of the bill.",REQUEST,REQUEST
<s>The European Union</s> is mobilising additional funds to support peace building in <t>Colombia</t>.,AID,AID
"<s>Hifter, who leads the Libya National Army (LNA) </s>and controls much of the country's eastern and southern regions, launched an offensive in April on <t>Tripoli, the seat of UN-recognized Government of National Accord (GNA) </t>.",ASSAULT,ASSAULT
"<s>Hong Kong lawmaker Eddie Chu, Hong Kong pro-democracy activist Joshua Wong and Luo Wen-jia, Secretary General of Taiwan's ruling Democratic Progressive Party (DPP)</s>, attend a press conference at <t>the DPP headquarters in Taipei</t> on September 3, 2019.",CONSULT,CONSULT
<s>France's prime minister Georges Clemenceau</s> demanded that <t>Germany</t> make reparations and join the League of Nations.,REQUEST,REQUEST
"<s>Iraqi forces</s> today started their assault on <t>Mosul's Old City</t> as they press their battle to retake the northern city from the Islamic State group, an army commander said.",ASSAULT,ASSAULT
